,ScripToken,LTPrice,LTQuantity,LTDate,BidPrice,BidQuantity,OfferPrice,OfferQuantity,TotalTradedQty,TradedQuantity,AverageTradePrice,Open,High,Low,Close,PerChange,TurnOver,YearlyHigh,YearlyLow,UpperCkt,LowerCkt,Difference,CostofCarry1,CostOfCarry2,ChangeIndicator,SpotPrice,OITime,OI,OIHigh,OILow,TotalTrades,TradeValueFlag,Trend,SunFlag,AllnoneFlag,Tender,PriceQuotation,TotalBuyQty,TotalSellQty,SegmentId,OIDifference,OIDiffPercentage
856,46281,485,75,06/24/2020 09:34:33,480,2100,490,7275,881175,225,461,565,565,375,760,-3618,4100,0,0,0,0,-275,0,0,-,1051330,09:34:33,3463350,3491025,3463350,0,,,,,0,,404550,113925,,-18675,-54
857,46283,620,150,06/24/2020 09:34:53,615,5925,625,375,2060475,4875,588,465,775,440,955,-3508,12100,0,0,0,0,-335,0,0,-,1051545,09:34:53,4730325,4730325,4629900,0,,,,,0,,751200,279975,,89175,192
858,106180,790,250,06/24/2020 09:34:46,780,250,815,250,44000,250,849,985,1020,745,1310,-3969,400,0,0,0,0,-520,0,0,-,204795,09:34:46,181000,183500,179000,0,,,,,0,,87250,93500,,1000,56
859,46286,40105,75,06/24/2020 09:34:53,39945,75,40135,750,53625,75,40147,39315,41775,39000,37945,569,21500,0,0,0,0,2160,0,0,+,1051485,09:34:49,1105725,1115175,1105725,0,,,,,0,,71100,48825,,-9450,-85
860,46287,835,75,06/24/2020 09:34:53,830,675,835,975,1700325,300,793,1150,1150,600,1280,-3477,13500,0,0,0,0,-445,0,0,-,1051545,09:34:53,2142225,2142225,2045625,0,,,,,0,,419100,147150,,57150,274
861,46288,30100,75,06/24/2020 09:34:49,30075,150,30190,150,192075,75,30687,30945,32140,29285,28440,584,58900,0,0,0,0,1660,0,0,+,1051375,09:34:49,849000,862050,847350,0,,,,,0,,438525,71250,,-13050,-151
862,46290,1190,75,06/24/2020 09:34:53,1185,150,1190,1575,2571900,4200,1141,1490,1490,910,1795,-3370,29300,0,0,0,0,-605,0,0,-,1051545,09:34:53,2685825,2716125,2668125,0,,,,,0,,261450,242100,,17700,66
863,46293,21225,75,06/24/2020 09:34:53,21180,75,21240,75,844875,375,21273,21310,22955,20235,19460,907,179700,0,0,0,0,1765,0,0,+,1051485,09:34:52,1533675,1590225,1533675,0,,,,,0,,502275,83175,,-56550,-356
864,106181,2285,250,06/24/2020 09:34:51,2250,250,2330,250,49000,250,2170,1810,2400,1810,2135,703,1100,0,0,0,0,150,0,0,+,204830,09:34:36,162500,164250,162000,0,,,,,0,,95750,86750,,500,31
865,46294,2030,675,06/24/2020 09:34:53,2025,900,2035,150,3669600,6450,1961,2170,2295,1580,2895,-2988,72000,0,0,0,0,-865,0,0,-,1051545,09:34:53,3237750,3237750,2883750,0,,,,,0,,269925,308925,,354000,1228
866,46298,7275,150,06/24/2020 09:34:54,7275,225,7300,2325,6442725,2700,7355,6985,8300,6615,6475,1236,473900,0,0,0,0,800,0,0,+,1051545,09:34:54,4020450,4020450,3616275,0,,,,,0,,613950,436875,,404175,1118
867,106183,750,250,06/24/2020 09:34:49,740,250,775,250,58750,750,710,655,895,600,785,-446,400,0,0,0,0,-35,0,0,-,204795,09:34:36,337750,339250,334000,0,,,,,0,,101750,97250,,3250,97
868,64848,7000,300,06/24/2020 09:34:46,6950,1500,7045,300,30900,300,6959,6550,7200,6550,6560,671,2200,0,0,0,0,440,0,0,+,204795,09:34:09,95100,95400,82200,0,,,,,0,,37200,37500,,12900,1569
869,64852,3925,300,06/24/2020 09:34:36,3605,900,3990,300,4800,600,3893,3960,4000,3590,3695,622,200,0,0,0,0,230,0,0,+,204600,09:34:36,106800,107700,106200,0,,,,,0,,19200,21000,,-900,-84
870,106184,5810,250,06/24/2020 09:34:40,5615,250,5875,250,4000,1000,6003,6200,6250,5810,6980,-1676,200,0,0,0,0,-1170,0,0,-,204855,09:24:45,26250,28000,26250,0,,,,,0,,64000,65000,,-1750,-625
871,95734,1049050,75,06/24/2020 09:34:54,1049075,75,1049180,75,1187925,900,1049374,1049930,1051265,1047875,1046770,22,12465800,0,0,0,0,2280,-8574,-8209,+,1051545,09:34:54,7781175,7781175,7398825,0,,,,,0,,310875,268575,,382350,517
872,46281,475,225,06/24/2020 09:34:53,470,150,475,75,886425,2400,461,565,565,375,760,-3750,4100,0,0,0,0,-285,0,0,-,1051545,09:34:53,3463350,3491025,3463350,0,,,,,0,,402900,118350,,-18675,-54
873,46283,620,75,06/24/2020 09:35:13,615,975,620,150,2075625,75,589,465,775,440,955,-3508,12200,0,0,0,0,-335,0,0,-,1051790,09:35:11,4730325,4730325,4629900,0,,,,,0,,745575,296325,,89175,192
874,106180,805,250,06/24/2020 09:35:12,780,750,800,250,46000,250,847,985,1020,745,1310,-3855,400,0,0,0,0,-505,0,0,-,204725,09:35:04,181000,183500,179000,0,,,,,0,,86500,93500,,1000,56
875,46286,40060,75,06/24/2020 09:34:57,40085,75,40240,75,53775,150,40147,39315,41775,39000,37945,557,21600,0,0,0,0,2115,0,0,+,1051610,09:34:57,1105725,1115175,1105725,0,,,,,0,,69825,48150,,-9450,-85
876,46287,820,75,06/24/2020 09:35:14,820,1125,825,975,1712925,750,793,1150,1150,600,1280,-3594,13600,0,0,0,0,-460,0,0,-,1051790,09:35:13,2142225,2142225,2045625,0,,,,,0,,418350,150225,,57150,274
877,46288,30495,75,06/24/2020 09:35:11,30385,150,30500,75,193125,75,30686,30945,32140,29285,28440,723,59300,0,0,0,0,2055,0,0,+,1051800,09:35:12,849000,862050,847350,0,,,,,0,,437250,67050,,-13050,-151
878,46290,1180,75,06/24/2020 09:35:13,1175,225,1185,4350,2589225,75,1141,1490,1490,910,1795,-3426,29500,0,0,0,0,-615,0,0,-,1051790,09:35:13,2685825,2716125,2668125,0,,,,,0,,264825,255000,,17700,66
879,46293,21310,75,06/24/2020 09:35:13,21255,75,21345,150,846525,75,21273,21310,22955,20235,19460,951,180100,0,0,0,0,1850,0,0,+,1051730,09:35:13,1533675,1590225,1533675,0,,,,,0,,496650,86775,,-56550,-356
880,106181,2300,250,06/24/2020 09:35:06,2215,250,2295,250,50250,750,2174,1810,2400,1810,2135,773,1100,0,0,0,0,165,0,0,+,204725,09:35:02,162500,164250,162000,0,,,,,0,,95250,88250,,500,31
881,46294,1995,75,06/24/2020 09:35:14,1990,75,2000,675,3729825,8775,1962,2170,2295,1580,2895,-3109,73200,0,0,0,0,-900,0,0,-,1051790,09:35:14,3237750,3237750,2883750,0,,,,,0,,270075,320700,,354000,1228
882,46298,7380,75,06/24/2020 09:35:14,7345,450,7380,525,6493950,2250,7354,6985,8300,6615,6475,1398,477600,0,0,0,0,905,0,0,+,1051790,09:35:13,4020450,4020450,3616275,0,,,,,0,,626175,435300,,404175,1118
883,106182,2400,250,06/24/2020 09:35:02,2315,250,2495,500,2000,250,2488,2600,2700,2400,3290,-2705,0,0,0,0,0,-890,0,0,-,204785,09:27:21,40500,41250,40500,0,,,,,0,,71500,68750,,-250,-61
884,106183,750,250,06/24/2020 09:35:07,735,250,760,250,59250,500,711,655,895,600,785,-446,400,0,0,0,0,-35,0,0,-,204785,09:35:04,337750,339250,334000,0,,,,,0,,101000,97250,,3250,97
885,64848,6950,300,06/24/2020 09:35:04,6950,600,7015,300,31500,600,6959,6550,7200,6550,6560,595,2200,0,0,0,0,390,0,0,+,204715,09:35:04,95100,95400,82200,0,,,,,0,,35100,38100,,12900,1569
886,95734,1049390,75,06/24/2020 09:35:14,1049300,1425,1049390,450,1197525,525,1049372,1049930,1051265,1047875,1046770,25,12566500,0,0,0,0,2620,-8641,-8329,+,1051790,09:35:14,7781175,7781175,7398825,0,,,,,0,,314925,270075,,382350,517
887,46281,470,75,06/24/2020 09:35:14,465,3900,475,1350,896400,75,461,565,565,375,760,-3816,4100,0,0,0,0,-290,0,0,-,1051790,09:35:14,3463350,3491025,3463350,0,,,,,0,,408225,112950,,-18675,-54
888,46283,610,75,06/24/2020 09:35:33,600,33600,610,1425,2086725,75,589,465,775,440,955,-3613,12300,0,0,0,0,-345,0,0,-,1052105,09:35:33,4794600,4794600,4629900,0,,,,,0,,740475,291900,,153450,331
889,106180,790,250,06/24/2020 09:35:22,780,250,795,250,47750,250,845,985,1020,745,1310,-3969,400,0,0,0,0,-520,0,0,-,204765,09:35:20,181000,183500,179000,0,,,,,0,,87500,93000,,1000,56
890,46286,40355,75,06/24/2020 09:35:20,40140,75,40350,75,54000,75,40147,39315,41775,39000,37945,635,21700,0,0,0,0,2410,0,0,+,1051835,09:35:20,1106250,1115175,1105725,0,,,,,0,,65175,51975,,-8925,-80
891,46287,810,75,06/24/2020 09:35:34,805,1575,810,825,1723650,150,793,1150,1150,600,1280,-3672,13700,0,0,0,0,-470,0,0,-,1052105,09:35:31,2171475,2171475,2045625,0,,,,,0,,414525,146250,,86400,414
892,46288,30950,75,06/24/2020 09:35:33,30800,75,30955,825,195225,150,30685,30945,32140,29285,28440,883,59900,0,0,0,0,2510,0,0,+,1052105,09:35:34,842475,862050,842475,0,,,,,0,,435750,66825,,-19575,-227
893,46290,1150,75,06/24/2020 09:35:34,1140,1275,1150,2325,2620950,600,1142,1490,1490,910,1795,-3593,29900,0,0,0,0,-645,0,0,-,1052105,09:35:33,2677275,2716125,2668125,0,,,,,0,,263025,251175,,9150,34
894,46293,21600,75,06/24/2020 09:35:30,21565,75,21650,75,853500,225,21275,21310,22955,20235,19460,1100,181600,0,0,0,0,2140,0,0,+,1051960,09:35:30,1488525,1590225,1488525,0,,,,,0,,494700,80550,,-101700,-640
895,106181,2300,250,06/24/2020 09:35:32,2315,250,2360,250,51000,500,2175,1810,2400,1810,2135,773,1100,0,0,0,0,165,0,0,+,204765,09:35:02,162500,164250,162000,0,,,,,0,,98250,86500,,500,31
896,46294,1925,75,06/24/2020 09:35:33,1920,1575,1930,1425,3759675,1725,1962,2170,2295,1580,2895,-3351,73800,0,0,0,0,-970,0,0,-,1052105,09:35:34,3272550,3272550,2883750,0,,,,,0,,268500,326250,,388800,1348
897,46298,7485,75,06/24/2020 09:35:34,7455,825,7485,75,6569850,900,7355,6985,8300,6615,6475,1560,483200,0,0,0,0,1010,0,0,+,1052105,09:35:34,4095675,4095675,3616275,0,,,,,0,,644325,419025,,479400,1326
898,106183,775,250,06/24/2020 09:35:29,755,250,775,250,60250,250,712,655,895,600,785,-127,400,0,0,0,0,-10,0,0,-,204765,09:35:15,337750,339250,334000,0,,,,,0,,101500,98500,,3250,97
899,64848,7000,300,06/24/2020 09:35:25,6950,600,7040,300,31800,300,6959,6550,7200,6550,6560,671,2200,0,0,0,0,440,0,0,+,204775,09:35:25,96000,96000,82200,0,,,,,0,,35400,38400,,13800,1679
900,95734,1049680,150,06/24/2020 09:35:34,1049635,75,1049795,75,1206600,300,1049373,1049930,1051265,1047875,1046770,28,12661700,0,0,0,0,2910,-8569,-8014,+,1052105,09:35:34,7810050,7810050,7398825,0,,,,,0,,323025,274875,,411225,556
901,46281,465,225,06/24/2020 09:35:34,460,225,465,2400,899700,225,461,565,565,375,760,-3882,4100,0,0,0,0,-295,0,0,-,1052105,09:35:30,3452925,3491025,3452925,0,,,,,0,,405525,115950,,-29100,-84
902,46283,615,75,06/24/2020 09:35:53,610,6225,620,3000,2110050,375,589,465,775,440,955,-3560,12400,0,0,0,0,-340,0,0,-,1052265,09:35:52,4794600,4794600,4629900,0,,,,,0,,745725,297675,,153450,331
903,106180,785,250,06/24/2020 09:35:51,770,250,795,250,50250,1000,841,985,1020,745,1310,-4008,400,0,0,0,0,-525,0,0,-,204880,09:35:51,181250,183500,179000,0,,,,,0,,86750,93000,,1250,69
904,46286,40600,75,06/24/2020 09:35:50,40275,75,40480,75,54375,75,40152,39315,41775,39000,37945,700,21800,0,0,0,0,2655,0,0,+,1052355,09:35:50,1106250,1115175,1105725,0,,,,,0,,49275,54300,,-8925,-80
